Date,Close/Last,Volume,Open,High,Low,Day
2/28/2022,135.057,38864420,133.05,135.7515,132.5923,507
3/1/2022,134.0615,26495360,134.8785,136.2555,133.2185,508
3/2/2022,134.5715,23519800,134.628,135.2625,133.0715,509
3/3/2022,133.8995,24603240,136.01,136.4395,133.0255,510
3/4/2022,131.9065,30450640,132.9275,133.8515,130.3375,511
3/7/2022,126.3785,45112940,131.488,131.735,126.295,512
3/8/2022,127.1045,40427100,126.25,131.25,125.6747,513
3/9/2022,133.42,37025400,131.25,133.7355,129.9005,514
3/10/2022,132.4295,27101400,131.266,133.2718,130.9125,515
3/11/2022,129.8705,31526440,133.4885,133.7955,129.6315,516
3/14/2022,125.951,38811260,130.25,130.409,125.275,517
3/15/2022,129.198,30919520,126.976,129.8545,125.7205,518
3/16/2022,133.2805,35576980,130.733,133.333,128.7345,519
3/17/2022,133.839,28263920,133.149,134.0804,132.185,520
3/18/2022,136.1255,44566900,133.4245,136.244,132.2583,521
3/21/2022,136.1015,26831680,136.1635,137.05,134.0923,522
3/22/2022,139.868,35495540,136.1015,141.05,136.1015,523
3/23/2022,138.2755,25153400,138.7025,139.5885,137.835,524
3/24/2022,141.572,26396560,139.2,141.6188,137.7505,525
3/25/2022,141.673,24143080,141.916,142.035,139.7375,526
3/28/2022,141.4555,35049260,140.9005,142.0025,139.8113,527
3/29/2022,142.5055,34317020,142.6475,143.7935,142.0383,528
3/30/2022,141.9385,19884760,142.46,142.7203,141.6,529
3/31/2022,139.0675,37524720,142.053,142.1078,139.0245,530
4/1/2022,140.1505,25941440,139.5,140.4708,138.3075,531
4/4/2022,142.9715,25970840,140.3585,143.712,140.3105,532
4/5/2022,140.591,21418120,142.869,142.9905,140.3825,533
4/6/2022,136.548,32468480,138.75,139.3605,135.517,534
4/7/2022,135.8885,26233600,136.01,137.1645,134.2274,535
4/8/2022,133.2875,25142800,135.5835,135.67,132.9655,536
4/11/2022,128.8235,36883060,131.8235,132.0925,128.6685,537
4/12/2022,127.7145,32710700,131.6,131.6,126.789,538
4/13/2022,129.894,27927240,128,130.334,127.7412,539
4/14/2022,126.73,31597980,130.4795,130.4795,126.601,540
4/18/2022,127.6765,20808660,127,128.2125,126.182,541
4/19/2022,130.009,26489760,127.6915,130.333,126.9995,542
4/20/2022,128.04,31695460,130.892,131.399,127.5,543
